date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:12	955889/955889	---M--	200	added ('OK')	image/png	etag:%222d0e9e07edf64a66ede50c4831f7a3e4%22	https://ram.digitscpu.com/_astro-assets/home-slide-2.CTT3AGdN_25whUn.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/home-slide-2.CTT3AGdN_25whUn.png	(from https://digits.com/)
23:00:13	162849/162849	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/product/ask-digits/	C:/My%20Web%20Sites/ai/digits.com/product/ask-digits/index.html	(from https://digits.com/)
23:00:46	134243/134243	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/product/month-end-close/	C:/My%20Web%20Sites/ai/digits.com/product/month-end-close/index.html	(from https://digits.com/)
23:00:47	172585/172585	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/product/bookkeeping/	C:/My%20Web%20Sites/ai/digits.com/product/bookkeeping/index.html	(from https://digits.com/)
23:00:47	432699/432699	---M--	200	added ('OK')	image/png	etag:%22c06993eb631b13e1e4b0cdba198df093%22	https://ram.digitscpu.com/_astro-assets/inbox-slide-2.BYe7mRZJ_Z1Fo0Dr.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/inbox-slide-2.BYe7mRZJ_Z1Fo0Dr.png	(from https://digits.com/)
23:00:48	158685/158685	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/product/dashboards/	C:/My%20Web%20Sites/ai/digits.com/product/dashboards/index.html	(from https://digits.com/)
23:00:49	169660/169660	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/product/financials/	C:/My%20Web%20Sites/ai/digits.com/product/financials/index.html	(from https://digits.com/)
23:01:15	163146/163146	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/product/bill-pay/	C:/My%20Web%20Sites/ai/digits.com/product/bill-pay/index.html	(from https://digits.com/)
23:01:16	159853/159853	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/product/invoicing/	C:/My%20Web%20Sites/ai/digits.com/product/invoicing/index.html	(from https://digits.com/)
23:01:17	140468/140468	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/accountants/	C:/My%20Web%20Sites/ai/digits.com/accountants/index.html	(from https://digits.com/)
23:01:17	749444/749444	---M--	200	added ('OK')	image/png	etag:%221c16b7b948024aec9a9e5115eba91ce9%22	https://ram.digitscpu.com/_astro-assets/banks-slide-2.Bu2gdG6S_2oTPOr.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/banks-slide-2.Bu2gdG6S_2oTPOr.png	(from https://digits.com/)
23:01:17	167371/167371	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/blog/	C:/My%20Web%20Sites/ai/digits.com/blog/index.html	(from https://digits.com/)
23:01:40	81905/81905	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/ai-native-accounting/	C:/My%20Web%20Sites/ai/digits.com/ai-native-accounting/index.html	(from https://digits.com/)
23:01:41	82717/82717	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/customers/	C:/My%20Web%20Sites/ai/digits.com/customers/index.html	(from https://digits.com/)
23:01:41	575199/575199	---M--	200	added ('OK')	image/png	etag:%22e4ae47b73f9523ef811abe5c28148ada%22	https://ram.digitscpu.com/_astro-assets/bills-slide-2.GgiNZVtx_ZmThkt.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/bills-slide-2.GgiNZVtx_ZmThkt.png	(from https://digits.com/)
23:01:42	82283/82283	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/between-two-founders/	C:/My%20Web%20Sites/ai/digits.com/between-two-founders/index.html	(from https://digits.com/)
23:01:43	198018/198018	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/pricing/	C:/My%20Web%20Sites/ai/digits.com/pricing/index.html	(from https://digits.com/)
23:01:43	498447/498447	---M--	200	added ('OK')	image/png	etag:%22fe8e3a8f3927a41374279a2f10dcf593%22	https://ram.digitscpu.com/_astro-assets/invoices-slide-2.CE6_7oVm_1Lrd5h.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/invoices-slide-2.CE6_7oVm_1Lrd5h.png	(from https://digits.com/)
23:01:44	680668/680668	---M--	200	added ('OK')	image/png	etag:%22e4d9ab81653b436fc02d7a96bc38bcc2%22	https://ram.digitscpu.com/_astro-assets/vendors-slide-2.CjZiueZt_1JSA8l.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/vendors-slide-2.CjZiueZt_1JSA8l.png	(from https://digits.com/)
23:01:45	743057/743057	---M--	200	added ('OK')	image/png	etag:%2269b377b7bc289d537ca31fd6a708affe%22	https://ram.digitscpu.com/_astro-assets/customers-slide-2.BeYiU-pq_Z10NudY.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/customers-slide-2.BeYiU-pq_Z10NudY.png	(from https://digits.com/)
23:01:46	1132939/1132939	---M--	200	added ('OK')	image/png	etag:%2267a75f46b33a6e6f6f5ae955d4050c46%22	https://ram.digitscpu.com/_astro-assets/financials-slide-2.NgB2xlBN_Z1aadl.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/financials-slide-2.NgB2xlBN_Z1aadl.png	(from https://digits.com/)
23:01:46	892562/892562	---M--	200	added ('OK')	image/png	etag:%22de2edcdee37ca4987d0a634444c0510a%22	https://ram.digitscpu.com/_astro-assets/reports-slide-2.BwLXqcsW_1utK8q.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/reports-slide-2.BwLXqcsW_1utK8q.png	(from https://digits.com/)
23:01:46	992896/992896	---M--	200	added ('OK')	image/png	etag:%228b8e7b95204eeb5743238d024f95587b%22	https://ram.digitscpu.com/_astro-assets/ledger-slide-2.Coet9pPg_uhjYI.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/ledger-slide-2.Coet9pPg_uhjYI.png	(from https://digits.com/)
23:01:47	450692/450692	---M--	200	added ('OK')	image/png	etag:%22d3a811af05cad1249c5f22ab4931b4e4%22	https://ram.digitscpu.com/_astro-assets/documents-slide-2.Dh2-U-Jm_9EViW.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/documents-slide-2.Dh2-U-Jm_9EViW.png	(from https://digits.com/)
23:01:47	1016/1016	---M-Z	200	added ('OK')	text/javascript	etag:%22e9a87ae53922c233aa5a7cb871f68a43%22	https://ram.digitscpu.com/_astro-assets/ConsoleDemo.astro_astro_type_script_index_0_lang.DrPukiSz.js	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/ConsoleDemo.astro_astro_type_script_index_0_lang.DrPukiSz.js	(from https://digits.com/)
23:01:47	899282/899282	---M--	200	added ('OK')	image/png	etag:%22e2443bf47643e9a55748927a95bb78c3%22	https://ram.digitscpu.com/_astro-assets/reconciliations-slide-2.Ca6KPkSf_XW8Ld.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/reconciliations-slide-2.Ca6KPkSf_XW8Ld.png	(from https://digits.com/)
23:01:47	9656/9656	---M--	200	added ('OK')	image/png	etag:%224db2121ec521c2471dfad1a7bd953656%22	https://ram.digitscpu.com/_astro-assets/accend.CzWKCwmK_Zg3qW5.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/accend.CzWKCwmK_Zg3qW5.png	(from https://digits.com/)
23:01:48	538595/538595	---M--	200	added ('OK')	image/png	etag:%22f778ae659faefd1048a1cdc5085a2f92%22	https://ram.digitscpu.com/_astro-assets/connections-slide-2.C1PeN2Yb_1QqAIs.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/connections-slide-2.C1PeN2Yb_1QqAIs.png	(from https://digits.com/)
23:01:48	15412/15412	---M--	200	added ('OK')	image/png	etag:%2231439eb9461b852d0856b26a21ab4800%22	https://ram.digitscpu.com/_astro-assets/acru.B6qpbegK_Z1qUaXE.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/acru.B6qpbegK_Z1qUaXE.png	(from https://digits.com/)
23:01:48	6760/6760	---M--	200	added ('OK')	image/png	etag:%22a3a9d897a678635fe2b8bf4ef2d3994a%22	https://ram.digitscpu.com/_astro-assets/audiohook.1HtBVP3v_ZlyE1I.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/audiohook.1HtBVP3v_ZlyE1I.png	(from https://digits.com/)
23:01:49	3327/3327	---M--	200	added ('OK')	image/png	etag:%2256dbe31cae84218975c9ac2e2ec6c2d9%22	https://ram.digitscpu.com/_astro-assets/barbarians.CLaZR9_n_Z2sWA2W.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/barbarians.CLaZR9_n_Z2sWA2W.png	(from https://digits.com/)
23:01:49	5731/5731	---M--	200	added ('OK')	image/png	etag:%225314323fe7c42c5643e7a67c34517789%22	https://ram.digitscpu.com/_astro-assets/between-names.BbFHK4th_1pw0mt.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/between-names.BbFHK4th_1pw0mt.png	(from https://digits.com/)
23:01:49	5724/5724	---M--	200	added ('OK')	image/png	etag:%22dc5a508602264461f555be1597cae8e0%22	https://ram.digitscpu.com/_astro-assets/carrot.C8q6NU8F_Z1IWIwM.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/carrot.C8q6NU8F_Z1IWIwM.png	(from https://digits.com/)
23:01:50	94784/94784	---M--	200	added ('OK')	image/png	etag:%22da1686fb66f2276601ce3fd1d9eb101c%22	https://ram.digitscpu.com/_astro-assets/clearvue-strategies.CW5RqZjl_ZjNrvQ.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/clearvue-strategies.CW5RqZjl_ZjNrvQ.png	(from https://digits.com/)
23:01:50	40458/40458	---M--	200	added ('OK')	image/png	etag:%2292f0e8d0c76277981518ad5f89b9fd84%22	https://ram.digitscpu.com/_astro-assets/coastal-cfo-advisors.CosWJgc-_Z15jbvv.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/coastal-cfo-advisors.CosWJgc-_Z15jbvv.png	(from https://digits.com/)
23:01:51	28366/28366	---M--	200	added ('OK')	image/png	etag:%22c186ec7d02313408b497411faafd41d8%22	https://ram.digitscpu.com/_astro-assets/dariba.DAJ4yHx6_usQiw.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/dariba.DAJ4yHx6_usQiw.png	(from https://digits.com/)
23:01:51	3720/3720	---M--	200	added ('OK')	image/png	etag:%226b5c65368935a1433fa1493d493bb155%22	https://ram.digitscpu.com/_astro-assets/finch.Ch77fcH0_1fqhV1.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/finch.Ch77fcH0_1fqhV1.png	(from https://digits.com/)
23:01:51	94013/94013	---M--	200	added ('OK')	image/png	etag:%221e8b56ff2fa039be677ff48de49de291%22	https://ram.digitscpu.com/_astro-assets/fry.DkCgs65g_2gfCVK.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/fry.DkCgs65g_2gfCVK.png	(from https://digits.com/)
23:01:52	2851/2851	---M--	200	added ('OK')	image/png	etag:%223a57eac75e4c9afcf6df3d3fd5d042af%22	https://ram.digitscpu.com/_astro-assets/fun-xyz.CZknoeqM_Z1vC6jB.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/fun-xyz.CZknoeqM_Z1vC6jB.png	(from https://digits.com/)
23:01:52	11902/11902	---M--	200	added ('OK')	image/png	etag:%22fda508aca11ab5a4384cafdb0b9a065f%22	https://ram.digitscpu.com/_astro-assets/gather.CS6aEUBR_ZQHohj.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/gather.CS6aEUBR_ZQHohj.png	(from https://digits.com/)
23:01:53	34135/34135	---M--	200	added ('OK')	image/png	etag:%22bdc158c7c1a61e1286f4ddc45a529a17%22	https://ram.digitscpu.com/_astro-assets/j-coleman-consulting.CY9cZ_QQ_23w6q6.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/j-coleman-consulting.CY9cZ_QQ_23w6q6.png	(from https://digits.com/)
23:01:53	2188/2188	---M--	200	added ('OK')	image/png	etag:%22c57cc4dd2bd00b17294876bf8dc2f659%22	https://ram.digitscpu.com/_astro-assets/karat.QC6EypfC_Z1uiYF9.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/karat.QC6EypfC_Z1uiYF9.png	(from https://digits.com/)
23:01:53	8608/8608	---M--	200	added ('OK')	image/png	etag:%22710d9005738573f8b6119b8bd2f6fc53%22	https://ram.digitscpu.com/_astro-assets/karmel-capital.CjIgWiRs_1jXLe2.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/karmel-capital.CjIgWiRs_1jXLe2.png	(from https://digits.com/)
23:01:54	30327/30327	---M--	200	added ('OK')	image/png	etag:%227307bce915eb6703079cde7642fbe832%22	https://ram.digitscpu.com/_astro-assets/mana.Chu4ceLx_Z2qrngy.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/mana.Chu4ceLx_Z2qrngy.png	(from https://digits.com/)
23:01:54	30499/30499	---M--	200	added ('OK')	image/png	etag:%227256b21bcf4a5167439d8250788de9d4%22	https://ram.digitscpu.com/_astro-assets/momentum-accounting.uvMhHsbz_Z1qccAB.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/momentum-accounting.uvMhHsbz_Z1qccAB.png	(from https://digits.com/)
23:01:55	42377/42377	---M--	200	added ('OK')	image/png	etag:%22701c86c40fad908f9c7dcc3879ebc81d%22	https://ram.digitscpu.com/_astro-assets/primetrics.CCTtKTGf_Z1MeMXx.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/primetrics.CCTtKTGf_Z1MeMXx.png	(from https://digits.com/)
23:01:55	6626/6626	---M--	200	added ('OK')	image/png	etag:%2293d2e26297d148319ee1e36b4b6b06c7%22	https://ram.digitscpu.com/_astro-assets/mural.Ccc-3x67_2bax40.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/mural.Ccc-3x67_2bax40.png	(from https://digits.com/)
23:01:55	11144/11144	---M--	200	added ('OK')	image/png	etag:%2244687b1fc1ff3251ae2760d7c7d941b4%22	https://ram.digitscpu.com/_astro-assets/nourish.BruUvoES_Z2pOPkW.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/nourish.BruUvoES_Z2pOPkW.png	(from https://digits.com/)
23:01:56	12247/12247	---M--	200	added ('OK')	image/png	etag:%22281fd226e367709777e7b3f8caaa8dd6%22	https://ram.digitscpu.com/_astro-assets/partiful.oZBDWYye_1KRNcS.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/partiful.oZBDWYye_1KRNcS.png	(from https://digits.com/)
23:01:56	2831/2831	---M--	200	added ('OK')	image/png	etag:%2267143de866494005f2bc6f52e78d4b94%22	https://ram.digitscpu.com/_astro-assets/pendium.DQ5QUUC7_Z23DEiy.png	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/pendium.DQ5QUUC7_Z23DEiy.png	(from https://digits.com/)
